"merc.gpnum","merc.resultid","merc.raceid","merc.points","merc.percpoints","merc.percTOTALpoints","merc.year","merc.round","merc.seasonandround","newpointsys"
66,14673,887,37,86.046511627907,36.6336633663366,2013,8,2013.36842105263,FALSE
67,14687,888,12,27.906976744186,11.8811881188119,2013,9,2013.42105263158,FALSE
68,14695,890,25,58.1395348837209,24.7524752475248,2013,10,2013.47368421053,FALSE
69,14708,891,27,62.7906976744186,26.7326732673267,2013,11,2013.52631578947,FALSE
70,14720,892,10,23.2558139534884,9.9009900990099,2013,12,2013.57894736842,FALSE
71,14731,893,22,51.1627906976744,21.7821782178218,2013,13,2013.63157894737,FALSE
72,14742,894,16,37.2093023255814,15.8415841584158,2013,14,2013.68421052632,FALSE
73,14754,895,4,9.30232558139535,3.96039603960396,2013,15,2013.73684210526,FALSE
74,14762,896,26,60.4651162790698,25.7425742574257,2013,16,2013.78947368421,FALSE
75,14773,897,21,48.8372093023256,20.7920792079208,2013,17,2013.84210526316,FALSE
76,14785,898,14,32.5581395348837,13.8613861386139,2013,18,2013.89473684211,FALSE
77,14797,899,12,27.906976744186,11.8811881188119,2013,19,2013.94736842105,FALSE
78,14808,900,25,58.1395348837209,24.7524752475248,2014,1,2014,FALSE
79,14819,901,43,100,42.5742574257426,2014,2,2014.05263157895,FALSE
80,14830,902,43,100,42.5742574257426,2014,3,2014.10526315789,FALSE
81,14841,903,43,100,42.5742574257426,2014,4,2014.15789473684,FALSE
82,14853,904,43,100,42.5742574257426,2014,5,2014.21052631579,FALSE
83,14864,905,43,100,42.5742574257426,2014,6,2014.26315789474,FALSE
84,14876,906,18,41.8604651162791,17.8217821782178,2014,7,2014.31578947368,FALSE
85,14886,907,43,100,42.5742574257426,2014,8,2014.36842105263,FALSE
86,14897,908,25,58.1395348837209,24.7524752475248,2014,9,2014.42105263158,FALSE
87,14908,909,40,93.0232558139535,39.6039603960396,2014,10,2014.47368421053,FALSE
88,14921,910,27,62.7906976744186,26.7326732673267,2014,11,2014.52631578947,FALSE
89,14931,911,18,41.8604651162791,17.8217821782178,2014,12,2014.57894736842,FALSE
90,14941,912,43,100,42.5742574257426,2014,13,2014.63157894737,FALSE
91,14952,913,25,58.1395348837209,24.7524752475248,2014,14,2014.68421052632,FALSE
92,14963,914,43,100,42.5742574257426,2014,15,2014.73684210526,FALSE
93,14974,915,43,100,42.5742574257426,2014,16,2014.78947368421,FALSE
94,14987,916,43,100,42.5742574257426,2014,17,2014.84210526316,FALSE
95,14996,917,43,100,42.5742574257426,2014,18,2014.89473684211,FALSE
96,15005,918,50,58.1395348837209,24.7524752475248,2014,19,2014.94736842105,FALSE
97,15015,926,43,100,42.5742574257426,2015,1,2015,FALSE
