raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1010,2019,1,1,Australian Grand Prix,17/03/2019,05:10:00,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1011,2019,2,3,Bahrain Grand Prix,31/03/2019,15:10:00,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1012,2019,3,17,Chinese Grand Prix,14/04/2019,06:10:00,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1013,2019,4,73,Azerbaijan Grand Prix,28/04/2019,12:10:00,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1014,2019,5,4,Spanish Grand Prix,12/05/2019,13:10:00,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1015,2019,6,6,Monaco Grand Prix,26/05/2019,13:10:00,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1016,2019,7,7,Canadian Grand Prix,09/06/2019,18:10:00,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1017,2019,8,34,French Grand Prix,23/06/2019,13:10:00,http://en.wikipedia.org/wiki/2019_French_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1018,2019,9,70,Austrian Grand Prix,30/06/2019,13:10:00,http://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1019,2019,10,9,British Grand Prix,14/07/2019,13:10:00,http://en.wikipedia.org/wiki/2019_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1020,2019,11,10,German Grand Prix,28/07/2019,13:10:00,http://en.wikipedia.org/wiki/2019_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1021,2019,12,11,Hungarian Grand Prix,04/08/2019,13:10:00,http://en.wikipedia.org/wiki/2019_Hungarian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1022,2019,13,13,Belgian Grand Prix,01/09/2019,13:10:00,http://en.wikipedia.org/wiki/2019_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1023,2019,14,14,Italian Grand Prix,08/09/2019,13:10:00,http://en.wikipedia.org/wiki/2019_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1024,2019,15,15,Singapore Grand Prix,22/09/2019,12:10:00,http://en.wikipedia.org/wiki/2019_Singapore_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1025,2019,16,71,Russian Grand Prix,29/09/2019,11:10:00,http://en.wikipedia.org/wiki/2019_Russian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1026,2019,17,22,Japanese Grand Prix,13/10/2019,05:10:00,http://en.wikipedia.org/wiki/2019_Japanese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1027,2019,18,32,Mexican Grand Prix,27/10/2019,19:10:00,http://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1028,2019,19,69,United States Grand Prix,03/11/2019,19:10:00,http://en.wikipedia.org/wiki/2019_United_States_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1029,2019,20,18,Brazilian Grand Prix,17/11/2019,17:10:00,http://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1030,2019,21,24,Abu Dhabi Grand Prix,01/12/2019,13:10:00,http://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1031,2020,1,70,Austrian Grand Prix,05/07/2020,13:10:00,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1032,2020,2,70,Styrian Grand Prix,12/07/2020,13:10:00,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1033,2020,3,11,Hungarian Grand Prix,19/07/2020,13:10:00,http://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1034,2020,4,9,British Grand Prix,02/08/2020,13:10:00,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1035,2020,5,9,70th Anniversary Grand Prix,09/08/2020,13:10:00,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1036,2020,6,4,Spanish Grand Prix,16/08/2020,13:10:00,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1037,2020,7,13,Belgian Grand Prix,30/08/2020,13:10:00,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1038,2020,8,14,Italian Grand Prix,06/09/2020,13:10:00,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1039,2020,9,76,Tuscan Grand Prix,13/09/2020,13:10:00,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1040,2020,10,71,Russian Grand Prix,27/09/2020,11:10:00,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1041,2020,11,20,Eifel Grand Prix,11/10/2020,13:10:00,http://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1042,2020,12,75,Portuguese Grand Prix,25/10/2020,12:10:00,http://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1043,2020,13,21,Emilia Romagna Grand Prix,01/11/2020,12:10:00,http://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1044,2020,14,5,Turkish Grand Prix,15/11/2020,10:10:00,http://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1045,2020,15,3,Bahrain Grand Prix,29/11/2020,14:10:00,http://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
